PartitionKey,RowKey,Timestamp,RackRow,RackRow@type,Label,Label@type,WeightPre,WeightPre@type,WeightPost,WeightPost@type,WeightDiff,WeightDiff@type,DistMinH,DistMinH@type,DistMaxH,DistMaxH@type,DistAvgH,DistAvgH@type,DistMinL,DistMinL@type,DistMaxL,DistMaxL@type,DistAvgL,DistAvgL@type,DistTime,DistTime@type
F0:08:D1:C8:A7:34,06e05b50-bcbf-4fad-a713-c19975ef4b42,2022-05-25T13:16:47.9637282Z,2,Int32,3,Int32,0,Int32,0,Int32,0,Int32,27,Int32,29,Int32,28,Int32,27,Int32,29,Int32,28,Int32,207,Int32
F0:08:D1:C8:A7:34,0cffb11c-0506-4d8d-8cad-7f2d00053380,2022-05-25T13:15:19.5884474Z,2,Int32,2,Int32,0,Int32,0,Int32,0,Int32,32,Int32,34,Int32,33,Int32,32,Int32,34,Int32,33,Int32,1136,Int32
F0:08:D1:C8:A7:34,11090373-a998-47a1-b8c3-807b4c036d53,2022-05-25T13:17:16.801118Z,2,Int32,6,Int32,0,Int32,0,Int32,0,Int32,9,Int32,10,Int32,9,Int32,9,Int32,15,Int32,11,Int32,513,Int32
F0:08:D1:C8:A7:34,13f3867e-2b06-43a9-8843-e3f5245cf925,2022-05-25T13:20:12.9485555Z,2,Int32,21,Int32,0,Int32,0,Int32,0,Int32,29,Int32,30,Int32,29,Int32,29,Int32,30,Int32,29,Int32,765,Int32
F0:08:D1:C8:A7:34,275027a4-b73f-484f-916b-ba69df4b65c4,2022-05-25T13:21:42.5068964Z,2,Int32,5,Int32,0,Int32,0,Int32,0,Int32,12,Int32,16,Int32,14,Int32,12,Int32,16,Int32,14,Int32,1135,Int32
F0:08:D1:C8:A7:34,397b206d-120f-41b2-875d-5aeb20a71121,2022-05-25T13:20:50.1554834Z,2,Int32,24,Int32,0,Int32,0,Int32,0,Int32,9,Int32,12,Int32,10,Int32,9,Int32,12,Int32,10,Int32,574,Int32
F0:08:D1:C8:A7:34,4a24c5c6-e4f8-4cff-860c-2f8d754e581b,2022-05-25T13:19:04.2714384Z,2,Int32,15,Int32,0,Int32,0,Int32,0,Int32,27,Int32,29,Int32,27,Int32,27,Int32,29,Int32,27,Int32,393,Int32
F0:08:D1:C8:A7:34,578c8377-49cf-481b-b234-77900570a574,2022-05-25T13:14:52.8453005Z,2,Int32,1,Int32,0,Int32,0,Int32,0,Int32,37,Int32,37,Int32,37,Int32,37,Int32,37,Int32,37,Int32,25,Int32
F0:08:D1:C8:A7:34,666f1a7f-25ef-4638-91cb-fd561b596359,2022-05-25T13:21:15.7140073Z,2,Int32,2,Int32,0,Int32,0,Int32,0,Int32,32,Int32,35,Int32,33,Int32,32,Int32,35,Int32,33,Int32,584,Int32
F0:08:D1:C8:A7:34,712dd309-c888-45d3-8997-234eb473d2d1,2022-05-25T13:19:43.1138419Z,2,Int32,19,Int32,0,Int32,0,Int32,0,Int32,39,Int32,41,Int32,40,Int32,39,Int32,41,Int32,40,Int32,766,Int32
F0:08:D1:C8:A7:34,7636e368-99b8-4f4d-9ebf-6f96e23df7c2,2022-05-25T13:18:01.9457102Z,2,Int32,10,Int32,0,Int32,0,Int32,0,Int32,19,Int32,22,Int32,20,Int32,19,Int32,22,Int32,20,Int32,764,Int32
F0:08:D1:C8:A7:34,7b3b2684-096a-455a-a526-d1aed4fed126,2022-05-25T13:17:30.504225Z,2,Int32,7,Int32,0,Int32,0,Int32,0,Int32,36,Int32,40,Int32,38,Int32,36,Int32,40,Int32,38,Int32,950,Int32
F0:08:D1:C8:A7:34,7dc3fb35-6f60-417e-92fc-f2da3c5a847e,2022-05-25T13:17:54.1915817Z,2,Int32,9,Int32,0,Int32,0,Int32,0,Int32,27,Int32,28,Int32,27,Int32,27,Int32,28,Int32,27,Int32,394,Int32
F0:08:D1:C8:A7:34,8564d098-0e7d-42a3-a3af-9fb4e469afcf,2022-05-25T13:21:57.5595495Z,2,Int32,6,Int32,0,Int32,0,Int32,0,Int32,8,Int32,11,Int32,9,Int32,8,Int32,11,Int32,9,Int32,948,Int32
F0:08:D1:C8:A7:34,857d50bb-f0ff-461d-a859-cd8e85d720d4,2022-05-25T13:17:05.2737668Z,2,Int32,5,Int32,0,Int32,0,Int32,0,Int32,14,Int32,16,Int32,15,Int32,14,Int32,19,Int32,16,Int32,628,Int32
F0:08:D1:C8:A7:34,89613aaf-2db4-4c81-a1db-348449dd6e93,2022-05-25T13:18:50.756999Z,2,Int32,14,Int32,0,Int32,0,Int32,0,Int32,33,Int32,34,Int32,33,Int32,33,Int32,34,Int32,33,Int32,578,Int32
F0:08:D1:C8:A7:34,8c018d20-daa8-4c17-9dcd-09b9da2b3766,2022-05-25T13:19:11.647966Z,2,Int32,16,Int32,0,Int32,0,Int32,0,Int32,21,Int32,24,Int32,22,Int32,21,Int32,24,Int32,22,Int32,391,Int32
F0:08:D1:C8:A7:34,9081447d-9189-4122-9a9b-600d4fabcf79,2022-05-25T13:16:57.662142Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,20,Int32,23,Int32,21,Int32,20,Int32,24,Int32,22,Int32,948,Int32
F0:08:D1:C8:A7:34,9693d23d-823d-495e-b684-d20a8f6ecce0,2022-05-25T13:19:29.2223134Z,2,Int32,18,Int32,0,Int32,0,Int32,0,Int32,9,Int32,10,Int32,9,Int32,9,Int32,10,Int32,9,Int32,758,Int32
F0:08:D1:C8:A7:34,a0bf91bc-d9c8-4f1b-8045-c59653e6f646,2022-05-25T13:18:11.5502759Z,2,Int32,11,Int32,0,Int32,0,Int32,0,Int32,17,Int32,19,Int32,18,Int32,17,Int32,19,Int32,18,Int32,390,Int32
F0:08:D1:C8:A7:34,abefbee8-8d95-432b-a466-c6b18db27229,2022-05-25T13:19:59.4224479Z,2,Int32,20,Int32,0,Int32,0,Int32,0,Int32,31,Int32,34,Int32,32,Int32,31,Int32,34,Int32,32,Int32,393,Int32
F0:08:D1:C8:A7:34,adc6c34e-68c7-4816-9afa-3a6b1f84c28a,2022-05-25T13:21:34.5713254Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,18,Int32,21,Int32,19,Int32,21,Int32,22,Int32,21,Int32,206,Int32
F0:08:D1:C8:A7:34,c11c5f89-c5a8-4d19-a34a-a4b585ff510a,2022-05-25T13:18:22.2214358Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,10,Int32,11,Int32,10,Int32,10,Int32,11,Int32,10,Int32,334,Int32
F0:08:D1:C8:A7:34,c1e1c3f8-9039-4ff7-98c1-91402347269e,2022-05-25T13:20:59.767581Z,2,Int32,1,Int32,0,Int32,0,Int32,0,Int32,35,Int32,42,Int32,38,Int32,35,Int32,42,Int32,39,Int32,766,Int32
F0:08:D1:C8:A7:34,c567ff3a-31a8-4c7d-9214-6d67df98c1b7,2022-05-25T13:20:43.3283509Z,2,Int32,23,Int32,0,Int32,0,Int32,0,Int32,15,Int32,16,Int32,15,Int32,15,Int32,16,Int32,15,Int32,576,Int32
F0:08:D1:C8:A7:34,dc39c90b-165e-4c56-b8cf-4091af8dcd18,2022-05-25T13:18:37.9713247Z,2,Int32,13,Int32,0,Int32,0,Int32,0,Int32,37,Int32,42,Int32,39,Int32,37,Int32,42,Int32,39,Int32,950,Int32
F0:08:D1:C8:A7:34,e54210c2-d6f3-46ca-bdf0-c2c0ae62ba53,2022-05-25T13:21:25.8944897Z,2,Int32,3,Int32,0,Int32,0,Int32,0,Int32,22,Int32,31,Int32,27,Int32,22,Int32,31,Int32,27,Int32,1142,Int32
F0:08:D1:C8:A7:34,ee107ead-7373-42c7-b8bd-245626cb9217,2022-05-25T13:17:38.2561121Z,2,Int32,8,Int32,0,Int32,0,Int32,0,Int32,33,Int32,34,Int32,33,Int32,33,Int32,34,Int32,33,Int32,767,Int32
F0:08:D1:C8:A7:34,f8204eca-8ec6-4442-8b1f-bbcf342534c5,2022-05-25T13:20:33.9085238Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,23,Int32,23,Int32,23,Int32,23,Int32,23,Int32,23,Int32,22,Int32
